No Node    Leaf    Avg       Training    Validation  Test
1 265         133         8.052632        100.0      74.3       75.1
2 249         125         8.360000        100.0      79.4       78.7
3 221         111         8.225225        100.0      81.0       80.2
4 299         150         8.373333        100.0      70.5       72.5
5 265         133         8.052632        100.0      74.3       75.1
6 221         111         8.225225        100.0      81.0       80.2
7 271         136         8.375000        100.0      75.1       76.1
8 315         158         8.246835        100.0      67.2       68.1
9 319         160         8.256250        100.0      69.6       70.1
10 329         165         8.509091        100.0      71.0       70.7
